SMILES,Structure: Image,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,LogP,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1,Solubility (MCS): Solubility [g·l-1],Saturation,Temperature_C,Solvent,Ratio of Solvents,Location.1,Comment (Solubility (MCS)),References.1,Links to Reaxys.2,Unnamed: 43,logS
O=C=O,,1900390,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1900390&database=RX&origin=ReaxysOutput&ln=,(1 of 2088),124-38-9,carbon dioxide; Dry ice; CO2,OCO,CO2,44.0098,acyclic; Isotope or isotope containing compound,,CURLTUGMZLYLDI-UHFFFAOYSA-N,,,,Identification(136546); Physical Data(29046); Spectra(877); Bioactivity(9323),59787.0,184546,2435.0,0.0,2.0,0.0,34.14,4.0,2.0,-78.5,,supporting information,,,,"Article; Mondal, Supriya;Sahoo, Rupam;Krishna, Rajamani;Das, Madhab C.; Chemistry - A European Journal; vol. 31; 26; (2025);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141157452&database=RX&origin=ReaxysOutput&ln=,1.7,in pure solvent,25.0,water,,supporting information,CO2 is highly soluble in water,"Article; Kim, Hyo Won; Yoon, Hee Wook; Yoo, Byung Min; Park, Jae Sung; Gleason, Kristofer L.; Freeman, Benny D.; Park, Ho Bum; Chemical Communications; vol. 50; 88; (2014); p. 13563 - 13566;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D64857724&database=RX&origin=ReaxysOutput&ln=,,-1.4131004735629091
CC1=CC(C)=C(C(=O)P(=O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1,,5582726,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D5582726&database=RX&origin=ReaxysOutput&ln=,(2 of 2088),75980-60-8,"(2,4,6-trimethylbenzoyl)diphenylphosphine oxide; diphenyl-2,4,6-trimethylbenzoil phosphine oxide; diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide; TPO",C22H21O2P,C22H21O2P,348381.0,isocyclic,,VFHVQBAGLAREND-UHFFFAOYSA-N,,,,Identification(84185); Physical Data(37); Spectra(55); Bioactivity(4216),197.0,84149,6059.0,0.0,2.0,4.0,43.95,3.0,2.0,92 - 93,,,,,,"Article; Xu, Xianyang;Zhang, Jian-Qiu;Wang, Xin;Wang, Teng;Liu, Yan;Han, Li-Biao; Phosphorus, Sulfur and Silicon and the Related Elements; vol. 199; 1; (2024); p. 23 - 26;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D129748100&database=RX&origin=ReaxysOutput&ln=,1,in pure solvent,25.0,water,,Paragraph 0168,,Patent; KURARAY NORITAKE DENTAL; US2020/206091; (2020); A1;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D80264338&database=RX&origin=ReaxysOutput&ln=,,-2.5420544614327416
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,84272,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D84272&database=RX&origin=ReaxysOutput&ln=,(3 of 2088),50-81-7,"ascorbic acid; vitamin C; L-ascorbic acid; Vit C; (R)-5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one; vitamic C; L‐ascorbic acid; sodium ascorbate; hexuronic acid; ascorbate; L-AA; L‑ascorbic acid; D-ascorbic acid; L-vitamin C; Asc",OCOC(OH)C(OH)CHCH(OH)CH2OH,C6H8O6,176126.0,heterocyclic,,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,,,Identification(70050); Physical Data(466); Spectra(180); Bioactivity(12471),2042.0,81856,-178.0,4.0,6.0,2.0,107.22,4.0,2.0,175 - 182,,,,,,"Article; Ferrier; Furneaux; Journal of the Chemical Society. Perkin transactions I; (1977); p. 1996,2000;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3322925&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,29.84,water,,,Solubility: 37.79 mol/1000mol,"Article; Shalmashi, Anvar; Eliassi, Ali; Journal of Chemical and Engineering Data; vol. 53; 6; (2008); p. 1332 - 1334;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8839563&database=RX&origin=ReaxysOutput&ln=,,0.3217426254584272
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,84272,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D84272&database=RX&origin=ReaxysOutput&ln=,(3 of 2088),50-81-7,"ascorbic acid; vitamin C; L-ascorbic acid; Vit C; (R)-5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one; vitamic C; L‐ascorbic acid; sodium ascorbate; hexuronic acid; ascorbate; L-AA; L‑ascorbic acid; D-ascorbic acid; L-vitamin C; Asc",OCOC(OH)C(OH)CHCH(OH)CH2OH,C6H8O6,176126.0,heterocyclic,,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,,,Identification(70050); Physical Data(466); Spectra(180); Bioactivity(12471),2042.0,81856,-178.0,4.0,6.0,2.0,107.22,4.0,2.0,189 - 191,,,,,,"Article; Ogawa; Matsui; Carbohydrate Research; vol. 51; (1976); p. C13,C14-C18;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3616787&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,34.84,water,,,Solubility: 43.78 mol/1000mol,"Article; Shalmashi, Anvar; Eliassi, Ali; Journal of Chemical and Engineering Data; vol. 53; 6; (2008); p. 1332 - 1334;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8839563&database=RX&origin=ReaxysOutput&ln=,,0.3856414907733255
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,84272,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D84272&database=RX&origin=ReaxysOutput&ln=,(3 of 2088),50-81-7,"ascorbic acid; vitamin C; L-ascorbic acid; Vit C; (R)-5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one; vitamic C; L‐ascorbic acid; sodium ascorbate; hexuronic acid; ascorbate; L-AA; L‑ascorbic acid; D-ascorbic acid; L-vitamin C; Asc",OCOC(OH)C(OH)CHCH(OH)CH2OH,C6H8O6,176126.0,heterocyclic,,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,,,Identification(70050); Physical Data(466); Spectra(180); Bioactivity(12471),2042.0,81856,-178.0,4.0,6.0,2.0,107.22,4.0,2.0,190 - 191,,,,,,"Article; Kitahara; Ogawa; Naganuma; Matsui; Agricultural and Biological Chemistry; vol. 38; 11; (1974); p. 2189 - 2190;; ; Article; Toman; Pillay; Journal of Scientific and Industrial Research, Section B: Physical Sciences; vol. 21; (1962); p. 347;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3298286&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,39.84,water,,,Solubility: 50.37 mol/1000mol,"Article; Shalmashi, Anvar; Eliassi, Ali; Journal of Chemical and Engineering Data; vol. 53; 6; (2008); p. 1332 - 1334;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8839563&database=RX&origin=ReaxysOutput&ln=,,0.4465376843991239
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,84272,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D84272&database=RX&origin=ReaxysOutput&ln=,(3 of 2088),50-81-7,"ascorbic acid; vitamin C; L-ascorbic acid; Vit C; (R)-5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one; vitamic C; L‐ascorbic acid; sodium ascorbate; hexuronic acid; ascorbate; L-AA; L‑ascorbic acid; D-ascorbic acid; L-vitamin C; Asc",OCOC(OH)C(OH)CHCH(OH)CH2OH,C6H8O6,176126.0,heterocyclic,,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,,,Identification(70050); Physical Data(466); Spectra(180); Bioactivity(12471),2042.0,81856,-178.0,4.0,6.0,2.0,107.22,4.0,2.0,190,,,,,,"Article; Bakke; Theander; Journal of the Chemical Society, Section D: Chemical Communications; (1971); p. 175;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3298767&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,44.84,water,,,Solubility: 57.94 mol/1000mol,"Article; Shalmashi, Anvar; Eliassi, Ali; Journal of Chemical and Engineering Data; vol. 53; 6; (2008); p. 1332 - 1334;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8839563&database=RX&origin=ReaxysOutput&ln=,,0.5073442244091556
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,84272,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D84272&database=RX&origin=ReaxysOutput&ln=,(3 of 2088),50-81-7,"ascorbic acid; vitamin C; L-ascorbic acid; Vit C; (R)-5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one; vitamic C; L‐ascorbic acid; sodium ascorbate; hexuronic acid; ascorbate; L-AA; L‑ascorbic acid; D-ascorbic acid; L-vitamin C; Asc",OCOC(OH)C(OH)CHCH(OH)CH2OH,C6H8O6,176126.0,heterocyclic,,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,,,Identification(70050); Physical Data(466); Spectra(180); Bioactivity(12471),2042.0,81856,-178.0,4.0,6.0,2.0,107.22,4.0,2.0,233 - 236,,,,,,Article; Dietz; Justus Liebigs Annalen der Chemie; vol. 738; (1970); p. 206;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3707560&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,49.84,water,,,Solubility: 66.33 mol/1000mol,"Article; Shalmashi, Anvar; Eliassi, Ali; Journal of Chemical and Engineering Data; vol. 53; 6; (2008); p. 1332 - 1334;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8839563&database=RX&origin=ReaxysOutput&ln=,,0.566075730839789
OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=C(O)C(O)=C2)=C1,,317313,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D317313&database=RX&origin=ReaxysOutput&ln=,(4 of 2088),117-39-5,"quercetol; Quercetin; 3,5,7,3',4'-pentahydroxyflavone; 3,3',4',5,7-pentahydroxyflavone; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one; quercitin; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one; 3,3′,4′,5,7-pentahydroxyflavone; 3,5,7,3′,4′-pentahydroxyflavone; quercetine; 3,3’,4’,5,7-pentahydroxyflavone; quercitrin; sophoretin; flavin; Que; 3,3',4',5,7-pentahydroxy-2-phenylchromen-4-one; 3,5,7,3’,4’-pentahydroxyflavone; quarcetin; QCT; QRT; 3,3',4',5,6-pentahydroxy flavone; 5,7,3',4'-flavon-3-ol; pentahydroxy flavone; qurecetin; Q4951",(HO)2C6H3C9H2O(O)(OH)3,C15H10O7,302.24,heterocyclic,,REFJWTPEDVJJIY-UHFFFAOYSA-N,,,,Identification(60672); Physical Data(1306); Spectra(2027); Bioactivity(12097),1656.0,71468,2517.0,5.0,2.0,1.0,127.45,4.0,2.0,315 - 316,,,,,,"Article; Numonov; Usmanova; Aisa; Chemistry of Natural Compounds; vol. 49; 3; (2013); p. 511 - 513; Khim. Prir. Soedin.; 3; (2013); p. 437 - 438,2;; ; Article; Jiang, Lan; Numonov, Sodik; Bobakulov, Khayrulla; Qureshi, Muhammad Nasimullah; Zhao, Haiqing; Aisa, Haji Akber; Molecules; vol. 20; 6; (2015); p. 11257 - 11271;; ; Article; Yan, Xi-Tao; Ding, Yan; Li, Wei; Sun, Ya-Nan; Kim, Young Ho; Chemistry of Natural Compounds; vol. 51; 6; (2015); p. 1164 - 1166; Khim. Prir. Soedin.; vol. 6; (2013); p. 1002 - 1003,2;; ; Article; Kipchakbaeva; Khamid; Eskalieva; Burasheva, G. Sh.; Abilov, Zh. A.; Numonov; Aisa; Chemistry of Natural Compounds; vol. 52; 2; (2016); p. 322 - 323; Khim. Prir. Soedin.; vol. 2; (2015); p. 281 - 282;; ; Article; Nawrot, Joanna; Budzianowski, Jaromir; Nowak, Gerard; Micek, Iwona; Budzianowska, Anna; Gornowicz-Porowska, Justyna; International Journal of Molecular Sciences; vol. 22; 9; (2021);; ; Article; Siddikov;Ganiev;Bobakulov, Kh. M.;Kurbanov, U. Kh.;Narbutaeva;Nishanbaev; Chemistry of Natural Compounds; vol. 61; 1; (2025); p. 150 - 152; Khim. Prir. Soedin.;; ; Article; Siddikov;Ganiev;Bobakulov, Kh. M.;Zokirova;Narbutaeva;Djuraeva;Okhundedaev;Botirov, E. Kh.; Chemistry of Natural Compounds; vol. 61; 3; (2025); p. 551 - 553; Khim. Prir. Soedin.; vol. 61; 3; (2025); p. 551 - 553;; ; Article; Raksat, Achara;Yee, Daniel;Gi, Young Jin;Wongwiwatthananukit, Supakit;Chang, Leng Kar;Kaawaloa, Kumu Piilani;Wall, Marisa M.;Lee, Jangsoon;Chang, Leng Chee; Molecules; vol. 30; 11; (2025);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D39627780&database=RX&origin=ReaxysOutput&ln=,0.1,in pure solvent,25.0,water,,Paragraph 0134,,Patent; INDUSTRY FOUNDATION OF CHONNAM NATIONAL UNIVERSITY; KR2024/176139; (2024); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D138606500&database=RX&origin=ReaxysOutput&ln=,,-3.4803519405777585
OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=C(O)C(O)=C2)=C1,,317313,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D317313&database=RX&origin=ReaxysOutput&ln=,(4 of 2088),117-39-5,"quercetol; Quercetin; 3,5,7,3',4'-pentahydroxyflavone; 3,3',4',5,7-pentahydroxyflavone; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one; quercitin; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one; 3,3′,4′,5,7-pentahydroxyflavone; 3,5,7,3′,4′-pentahydroxyflavone; quercetine; 3,3’,4’,5,7-pentahydroxyflavone; quercitrin; sophoretin; flavin; Que; 3,3',4',5,7-pentahydroxy-2-phenylchromen-4-one; 3,5,7,3’,4’-pentahydroxyflavone; quarcetin; QCT; QRT; 3,3',4',5,6-pentahydroxy flavone; 5,7,3',4'-flavon-3-ol; pentahydroxy flavone; qurecetin; Q4951",(HO)2C6H3C9H2O(O)(OH)3,C15H10O7,302.24,heterocyclic,,REFJWTPEDVJJIY-UHFFFAOYSA-N,,,,Identification(60672); Physical Data(1306); Spectra(2027); Bioactivity(12097),1656.0,71468,2517.0,5.0,2.0,1.0,127.45,4.0,2.0,316.3,,,,,,"Article; Momina, Sayyada Saleha;Gandla, Kumaraswamy; Biochemical Genetics; vol. 63; 2; (2025); p. 1400 - 1435;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D133394129&database=RX&origin=ReaxysOutput&ln=,12.72,,25.0,water,,,,"Article; Zhao, Li-Juan; Yang, Song-Lin; Jin, Wen; Yang, Hui-Wen; Li, Fei-Yang; Chi, Shao-Ming; Zhu, Hong-You; Lei, Ze; Zhao, Yan; Australian Journal of Chemistry; vol. 72; 6; (2019); p. 440 - 449;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D76190030&database=RX&origin=ReaxysOutput&ln=,,-1.3758648292653632
OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=C(O)C(O)=C2)=C1,,317313,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D317313&database=RX&origin=ReaxysOutput&ln=,(4 of 2088),117-39-5,"quercetol; Quercetin; 3,5,7,3',4'-pentahydroxyflavone; 3,3',4',5,7-pentahydroxyflavone; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one; quercitin; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one; 3,3′,4′,5,7-pentahydroxyflavone; 3,5,7,3′,4′-pentahydroxyflavone; quercetine; 3,3’,4’,5,7-pentahydroxyflavone; quercitrin; sophoretin; flavin; Que; 3,3',4',5,7-pentahydroxy-2-phenylchromen-4-one; 3,5,7,3’,4’-pentahydroxyflavone; quarcetin; QCT; QRT; 3,3',4',5,6-pentahydroxy flavone; 5,7,3',4'-flavon-3-ol; pentahydroxy flavone; qurecetin; Q4951",(HO)2C6H3C9H2O(O)(OH)3,C15H10O7,302.24,heterocyclic,,REFJWTPEDVJJIY-UHFFFAOYSA-N,,,,Identification(60672); Physical Data(1306); Spectra(2027); Bioactivity(12097),1656.0,71468,2517.0,5.0,2.0,1.0,127.45,4.0,2.0,334.02,,,,,,"Article; Patel, Priyadarshini;Patel, Tejas; BioNanoScience; vol. 15; 1; (2025);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D138257813&database=RX&origin=ReaxysOutput&ln=,0.00381,in pure solvent,37.0,water,,,,"Article; Zhang, Kexia; Zhang, Meiyu; Liu, Ziying; Zhang, Yuanyuan; Gu, Liqiang; Hu, Gaosheng; Chen, Xiaohui; Jia, Jingming; Fitoterapia; vol. 113; (2016); p. 102 - 109;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69289130&database=RX&origin=ReaxysOutput&ln=,,-4.899426964902139
